participant,word,color,congruent,incongruent,CN,GC,corrAns,CN.rt,GC.rt,Participant ID,Gender,Age,Ethnicity,Dolls,STEM,Barbie,Leader,Assertiveness,Language
667974,damsel,blue,0.0,1.0,1.0,0.0,b,0.709077828003501,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,wife,blue,0.0,1.0,1.0,0.0,b,0.6697067210043315,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,aunt,blue,0.0,1.0,1.0,0.0,b,0.6899584610000602,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,father,blue,1.0,0.0,1.0,0.0,b,0.5641017140005715,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,lady,pink,1.0,0.0,1.0,0.0,p,0.6996116469963454,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,uncle,blue,1.0,0.0,1.0,0.0,b,0.6499907930046902,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,guy,blue,1.0,0.0,1.0,0.0,b,0.5599386489993776,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,maid,blue,0.0,1.0,1.0,0.0,b,0.5974672599986661,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,daughter,pink,1.0,0.0,1.0,0.0,p,0.6354101709948736,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,sister,pink,1.0,0.0,1.0,0.0,p,0.6519931410002755,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,grandpa,pink,0.0,1.0,1.0,0.0,b,0.6847531780003919,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,female,pink,1.0,0.0,1.0,0.0,p,0.6150312370009487,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,nephew,pink,0.0,1.0,1.0,0.0,p,0.601368909003213,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,handsome,blue,1.0,0.0,1.0,0.0,b,0.7399027369974647,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,gentleman,pink,0.0,1.0,1.0,0.0,p,0.6886391640000511,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,male,pink,0.0,1.0,1.0,0.0,p,0.678028843998618,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,son,blue,1.0,0.0,1.0,0.0,b,0.6639557160015102,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,grandma,blue,0.0,1.0,1.0,0.0,b,0.6388398859999143,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,girl,pink,1.0,0.0,1.0,0.0,p,0.6929109150005388,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,dad,pink,0.0,1.0,1.0,0.0,p,0.6385475600036443,,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,sister,pink,1.0,0.0,0.0,1.0,f,,1.3939614510018146,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,boys,pink,0.0,1.0,0.0,1.0,m,,0.8525636569975177,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,man,pink,0.0,1.0,0.0,1.0,m,,0.634691617997305,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,lady,blue,0.0,1.0,0.0,1.0,f,,0.832125751003332,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,wife,blue,0.0,1.0,0.0,1.0,f,,0.7841247989999829,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,father,blue,1.0,0.0,0.0,1.0,m,,0.8108812079954077,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,guy,blue,1.0,0.0,0.0,1.0,m,,0.735003185000096,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
667974,girls,pink,1.0,0.0,0.0,1.0,f,,0.767860849002318,667974.0,Non-binary,22,White,Yes,Yes,Yes,Man,Yes,No
