word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,text_5.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,final_message.started,text_4.started,key_resp_7.started,text_4.stopped,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.008186448001652025,0.01837744600197766,0.5071443030028604,3.0341189920000033,space,2.984992992001935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
female,pink,1,1,0,1,0,p,0,0,0,0,,,,,,,,,,,,,3.063822595999227,,,,,,,,,3.0480500330013456,3.539145284004917,3.539145284004917,4.891182534003747,p,1.3444254979986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
boy,blue,1,1,0,1,0,b,0,1,1,1,,,,,,,,,,,,,4.9050498270007665,,,,,,,,,4.892275853999308,5.405963012002758,5.405963012002758,6.057192988002498,b,0.6412427610048326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
niece,blue,1,0,1,1,0,b,0,2,2,3,,,,,,,,,,,,,6.072892648000561,,,,,,,,,6.057897106002201,6.572496799999499,6.572496799999499,6.992586450003728,b,0.4028669060062384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
mother,pink,1,1,0,1,0,p,0,3,3,4,,,,,,,,,,,,,7.013333924005565,,,,,,,,,6.9934480270021595,7.5059121920057805,7.5059121920057805,7.956967352001811,p,0.4387891579972347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
husband,pink,1,0,1,1,0,b,0,4,4,2,,,,,,,,,,,,,7.972161794001295,,,,,,,,,7.95763664500555,8.489029108000977,8.489029108000977,8.906682869004726,p,0.4015800830020453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.90713010100444,8.922587134999048,9.422262691005017,11.842846122999617,space,2.9025103989988565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
guy,blue,0,1,0,1,0,b,,,,,0,0,0,17,,,,,,,,,11.878753380005946,,,,,,,,,,,,,,,,,,,,,,,11.866922753004474,12.354901491002238,12.354901491002238,13.259034767004778,b,1,0.9011203799964278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
damsel,blue,0,0,1,1,0,b,,,,,0,1,1,11,,,,,,,,,13.274702774004254,,,,,,,,,,,,,,,,,,,,,,,13.260203994999756,13.77338544500526,13.77338544500526,14.239595720006037,b,1,0.45726816399837844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
male,pink,0,0,1,1,0,p,,,,,0,2,2,8,,,,,,,,,14.254551689002255,,,,,,,,,,,,,,,,,,,,,,,14.240121820002969,14.739053018005507,14.739053018005507,15.142055836004147,p,1,0.39705659800529247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,001,2024-05-10_18h06.59.096,stroop experiment,2024.1.4,None,2024-05-10 18h07.07.278446 -0400,
