word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,text_6.stopped,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,final_message.started,text_4.started,key_resp_7.started,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.02167631399788661,0.0330672469935962,0.5082763719983632,2.269410572000197,space,2.230783514001814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
female,pink,1,1,0,1,0,p,0,0,0,0,,,,,,,,,,,,,2.2918969949969323,,,,,,,,,2.2807216769942897,2.781745801999932,2.781745801999932,5.236689208999451,p,2.439325204002671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
mother,pink,1,1,0,1,0,p,0,1,1,4,,,,,,,,,,,,,5.25014151600044,,,,,,,,,5.237383179999597,5.750157953996677,5.750157953996677,6.202377630994306,p,0.4425180390026071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
husband,pink,1,0,1,1,0,b,0,2,2,2,,,,,,,,,,,,,6.217431285993371,,,,,,,,,6.202767647999281,6.71537042199634,6.71537042199634,7.07143701199675,p,0.34905720899405424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
boy,blue,1,1,0,1,0,b,0,3,3,1,,,,,,,,,,,,,7.085882596998999,,,,,,,,,7.0720295009959955,7.583369871994364,7.583369871994364,7.93660441099928,b,0.3280708419988514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
niece,blue,1,0,1,1,0,b,0,4,4,3,,,,,,,,,,,,,7.948831505993439,,,,,,,,,7.937306914995133,8.448704021000594,8.448704021000594,8.769754933993681,b,0.3193270379997557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.770196621997457,8.78197390800051,9.281188880995614,9.906506744999206,space,1.1195547349998378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
gentleman,pink,0,0,1,1,0,p,,,,,0,0,0,4,,,,,,,,,9.935834708994662,,,,,,,,,,,,,,,,,,,,,,,9.923160623999138,10.417837607994443,10.417837607994443,10.85398152199923,p,1,0.4244842379994225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
son,blue,0,1,0,1,0,b,,,,,0,1,1,6,,,,,,,,,10.869064546997834,,,,,,,,,,,,,,,,,,,,,,,10.85464864399546,11.365368702994601,11.365368702994601,11.76583092299552,b,1,0.3869423740034108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
dad,pink,0,0,1,1,0,p,,,,,0,2,2,14,,,,,,,,,11.783597801993892,,,,,,,,,,,,,,,,,,,,,,,11.766260693999357,12.264597269997466,12.264597269997466,12.6192542639983,p,1,0.34812589000648586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936615,001,2024-05-11_12h37.18.678,stroop experiment,2024.1.4,None,2024-05-11 12h37.30.273726 -0400,
