word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,text_5.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,final_message.started,text_4.started,key_resp_7.started,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.007906524995632935,0.017218953995325137,0.5072346539964201,6.556896054993558,space,6.528470090001065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
female,pink,1,1,0,1,0,p,0,0,0,0,,,,,,,,,,,,,6.58749282899953,,,,,,,,,6.573372211998503,7.072327489993768,7.072327489993768,8.058288332998927,p,0.9705544489988824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
niece,blue,1,0,1,1,0,b,0,1,1,3,,,,,,,,,,,,,8.073884794997866,,,,,,,,,8.059604603993648,8.572318865997659,8.572318865997659,9.04234099999303,b,0.4640684260011767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
mother,pink,1,1,0,1,0,p,0,2,2,4,,,,,,,,,,,,,9.05781235199538,,,,,,,,,9.04310411199549,9.555659244993876,9.555659244993876,9.940620503999526,p,0.3723323869999149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
boy,blue,1,1,0,1,0,b,0,3,3,1,,,,,,,,,,,,,9.954874307994032,,,,,,,,,9.941090748994611,10.455423636994965,10.455423636994965,10.776522119995207,b,0.315209082000365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
husband,pink,1,0,1,1,0,b,0,4,4,2,,,,,,,,,,,,,10.791145195995341,,,,,,,,,10.777306692994898,11.272452460994828,11.272452460994828,11.711907109995082,p,0.43034511800215114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.712429200997576,11.723430029996962,12.215175888995873,12.840118789994449,space,1.1035122989997035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
lady,pink,0,1,0,1,0,p,,,,,0,0,0,16,,,,,,,,,12.871292923999135,,,,,,,,,,,,,,,,,,,,,,,12.860657453995373,13.355547017999925,13.355547017999925,14.174117650996777,p,1,0.8110794229942258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
girl,pink,0,1,0,1,0,p,,,,,0,1,1,3,,,,,,,,,14.188022967995494,,,,,,,,,,,,,,,,,,,,,,,14.175286559999222,14.68898777999857,14.68898777999857,15.225795912992908,p,1,0.5340199690035661,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
aunt,blue,0,0,1,1,0,b,,,,,0,2,2,2,,,,,,,,,15.239894436999748,,,,,,,,,,,,,,,,,,,,,,,15.226638664993516,15.739504405995831,15.739504405995831,16.109720076994563,b,1,0.35050901700014947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074071,001,2024-05-10_18h03.49.239,stroop experiment,2024.1.4,None,2024-05-10 18h03.58.484696 -0400,
