word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,text_6.stopped,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,text_5.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,final_message.started,text_4.started,key_resp_7.started,text_4.stopped,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.008890356999472715,0.01576757700240705,0.5147749530005967,80.98470892399928,space,80.96222675099852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
husband,pink,1,0,1,1,0,b,0,0,0,2,,,,,,,,,,,,,81.02088043300319,,,,,,,,,81.00334519099852,81.49587817500287,81.49587817500287,84.29795364200254,p,2.786236440995708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
mother,pink,1,1,0,1,0,p,0,1,1,4,,,,,,,,,,,,,84.31370596100169,,,,,,,,,84.29892075499811,84.81297015499877,84.81297015499877,85.34704229499766,p,0.523076014003891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
boy,blue,1,1,0,1,0,b,0,2,2,1,,,,,,,,,,,,,85.36198216499906,,,,,,,,,85.34757884500141,85.86274106400379,85.86274106400379,87.0311812650034,b,1.1541461489978246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
female,pink,1,1,0,1,0,p,0,3,3,0,,,,,,,,,,,,,87.04562932000408,,,,,,,,,87.03178874999867,87.54587616599747,87.54587616599747,88.5647480560001,p,1.0035180780032533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
niece,blue,1,0,1,1,0,b,0,4,4,3,,,,,,,,,,,,,88.57853248200263,,,,,,,,,88.56516124500195,89.07909527899756,89.07909527899756,89.66501623600197,b,0.5716940700003761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.66546574299718,89.67970040799992,90.17960476100416,94.9977952199988,space,5.312400136994256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
gentleman,pink,0,0,1,1,0,p,,,,,0,0,0,4,,,,,,,,,95.02760935299739,,,,,,,,,,,,,,,,,,,,,,,95.01512342400383,95.5134163679977,95.5134163679977,96.51527123899723,p,1,0.9979862199979834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
girl,pink,0,1,0,1,0,p,,,,,0,1,1,3,,,,,,,,,96.54442889000347,,,,,,,,,,,,,,,,,,,,,,,96.51671117100341,97.02883102100168,97.02883102100168,97.6634691260042,p,1,0.6223972349980613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
aunt,blue,0,0,1,1,0,b,,,,,0,2,2,2,,,,,,,,,97.67844386600336,,,,,,,,,,,,,,,,,,,,,,,97.66395439299959,98.18007351800043,98.18007351800043,98.83004415300093,b,1,0.6386780699976953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
grandma,blue,0,0,1,1,0,b,,,,,0,3,3,15,,,,,,,,,98.84499114799837,,,,,,,,,,,,,,,,,,,,,,,98.83069136399718,99.34545168199838,99.34545168199838,99.76282095399802,b,1,0.40114128300047014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
grandpa,pink,0,0,1,1,0,b,,,,,0,4,4,5,,,,,,,,,99.77855625600205,,,,,,,,,,,,,,,,,,,,,,,99.76341466599843,100.28839925499778,100.28839925499778,100.69789448100346,p,0,0.4059865580056794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176696,001,2024-05-11_11h41.28.347,stroop experiment,2024.1.4,None,2024-05-11 11h41.41.834726 -0400,
