word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,text_5.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,final_message.started,text_4.started,key_resp_7.started,text_4.stopped,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.008283789000415709,0.016820934004499577,0.5151582690014038,16.668088987004012,space,16.6188223930003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
female,pink,1,1,0,1,0,p,0,0,0,0,,,,,,,,,,,,,16.701974127005087,,,,,,,,,16.686254045998794,17.178021313004137,17.178021313004137,18.4472056529994,p,1.25439615000505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
husband,pink,1,0,1,1,0,b,0,1,1,2,,,,,,,,,,,,,18.46614974000113,,,,,,,,,18.450831867005036,18.963323797004705,18.963323797004705,19.61469720500463,p,0.644889385002898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
niece,blue,1,0,1,1,0,b,0,2,2,3,,,,,,,,,,,,,19.63432605100388,,,,,,,,,19.61541729199962,20.127950336005597,20.127950336005597,21.046216569004173,b,0.9091134629998123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
mother,pink,1,1,0,1,0,p,0,3,3,4,,,,,,,,,,,,,21.061588939999638,,,,,,,,,21.046935370002757,21.561118739002268,21.561118739002268,22.284483272000216,p,0.7014929159995518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
boy,blue,1,1,0,1,0,b,0,4,4,1,,,,,,,,,,,,,22.301354711002205,,,,,,,,,22.28631456700532,22.795623240999703,22.795623240999703,23.448124432004988,b,0.6370641859975876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.448787122004433,23.462922575003176,23.961818408002728,25.7962969920045,space,2.3188769339976716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
lady,pink,0,1,0,1,0,p,,,,,0,0,0,16,,,,,,,,,25.827611822998733,,,,,,,,,,,,,,,,,,,,,,,25.816964165998797,26.29439185099909,26.29439185099909,26.729007131005346,p,1,0.4200103469993337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
female,pink,0,1,0,1,0,p,,,,,0,1,1,0,,,,,,,,,26.74385808300576,,,,,,,,,,,,,,,,,,,,,,,26.72979241500434,27.228671806005877,27.228671806005877,27.629636927005777,p,1,0.3833806260008714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
handsome,blue,0,1,0,1,0,b,,,,,0,2,2,12,,,,,,,,,27.644598222999775,,,,,,,,,,,,,,,,,,,,,,,27.630638173002808,28.144243517999712,28.144243517999712,28.513432489002298,b,1,0.35739699499390554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
sister,pink,0,1,0,1,0,p,,,,,0,3,3,13,,,,,,,,,28.527836172004754,,,,,,,,,,,,,,,,,,,,,,,28.514104963003774,29.02840874100366,29.02840874100366,29.531947657000273,p,1,0.5005430879973574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
son,blue,0,1,0,1,0,b,,,,,0,4,4,6,,,,,,,,,29.5465935300017,,,,,,,,,,,,,,,,,,,,,,,29.532924024999375,30.044134806004877,30.044134806004877,30.530514672005665,b,1,0.46851918100583134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193580,001,2024-05-10_17h47.56.415,stroop experiment,2024.1.4,None,2024-05-10 17h49.09.263139 -0400,
