word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,text_5.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,trial_task_2_text.stopped,final_message.started,text_4.started,key_resp_7.started,text_4.stopped,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.00849716200173134,0.017874969002150465,0.5265032000024803,16.748054976000276,space,16.710843970002315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
female,pink,1,1,0,1,0,p,0,0,0,0,,,,,,,,,,,,,16.776284296000085,,,,,,,,,16.760392550997494,17.248621628001274,17.248621628001274,18.083684799996263,p,0.82202450800105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
husband,pink,1,0,1,1,0,b,0,1,1,2,,,,,,,,,,,,,18.100396900001215,,,,,,,,,18.085671998996986,18.59866235499794,18.59866235499794,19.518339862996072,p,0.9061760699987644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
boy,blue,1,1,0,1,0,b,0,2,2,1,,,,,,,,,,,,,19.541267480002716,,,,,,,,,19.518847491999622,20.032206627998676,20.032206627998676,20.75194471499708,b,0.7031660959983128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
mother,pink,1,1,0,1,0,p,0,3,3,4,,,,,,,,,,,,,20.766089324002678,,,,,,,,,20.75267755099776,21.298780438002723,21.298780438002723,21.96772138000233,p,0.6606714590016054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
niece,blue,1,0,1,1,0,b,0,4,4,3,,,,,,,,,,,,,21.982419465995918,,,,,,,,,21.968428635002056,22.481859551000525,22.481859551000525,23.321810278997873,b,0.8263568590045907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.32233752799948,23.33273402100167,23.832876872998895,26.283840012998553,space,2.9350599290046375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
dad,pink,0,0,1,1,0,p,,,,,0,0,0,14,,,,,,,,,26.311161928002548,,,,,,,,,,,,,,,,,,,,,,,26.303058671001054,26.78207786600251,26.78207786600251,27.33493259899842,p,1,0.548957145998429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
nephew,pink,0,0,1,1,0,p,,,,,0,1,1,19,,,,,,,,,27.34939746100281,,,,,,,,,,,,,,,,,,,,,,,27.336065987998154,27.849625178001588,27.849625178001588,28.334022117996938,p,1,0.47512712399475276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
grandma,blue,0,0,1,1,0,b,,,,,0,2,2,15,,,,,,,,,28.348382006995962,,,,,,,,,,,,,,,,,,,,,,,28.334853159001796,28.848506551003084,28.848506551003084,29.384790012998565,b,1,0.5336463030034793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778222,001,2024-05-11_11h19.11.180,stroop experiment,2024.1.4,None,2024-05-11 11h19.23.278511 -0400,
